장소명,리뷰,별점
모임 스터디룸 스터디카페,"동영상 강의 촬영하러 갔었는데, 대만족 입니다 :)",5
모임 스터디룸 스터디카페,여러모로 좋았습니다,5
모임 스터디룸 스터디카페,조용하고 가격도 나름 괜찮아요,5
모임 스터디룸 스터디카페,"가격도 근방에서 제일 괜찮고, 작은 방도 빌릴 수 있어 너무 좋았음",5
모임 스터디룸 스터디카페,스터디 하기도 좋고 사장님도 친절하시고 시설도 깨끗하고 너무 좋아요ㅎㅎ,5
모임 스터디룸 스터디카페,장소 깔끔하고 공부하기 좋았어요,5
모임 스터디룸 스터디카페,깔끔하고 좋아요,5
모임 스터디룸 스터디카페,주인분의 친절한 응대...조용한 분위기...쾌적한 환경...코로나 시대에 카페나 식당에서 모임이 불가해서...이용해 봤는데 아주만족스럽습니다. 간단하게 먹을거리 마실거리도 구매 가능하고...여러모로 신경 써주셔서 감사해요..덕분에 회의도 잘하고 좋은 결과를 얻게되네요...,5
모임 스터디룸 스터디카페,좋아요!!또 방문할게용,5
모임 스터디룸 스터디카페,좋아!,5
모임 스터디룸 스터디카페,쾌적하고 좋아요~~,4
모임 스터디룸 스터디카페,시설 깨끗하고 젛아용,5
모임 스터디룸 스터디카페,"깔끔하고 방음이 잘 돼서 사용하면서 불편한 점은 크게 없었어요 다만 사진보다는 조금 좁은 편이긴 하네요~ 결제는 선결제, 후결제 모두 가능하니 참고하셔요~",4.5
모임 스터디룸 스터디카페,"2018년도 말부터 거의 매주 꾸준히 이용해서 이용한 지 벌써 2년 정도 되었네요.원래도 깨끗하고 친절하다고 생각했지만,올해 초 코로나 이후 사장님 부부께서 정말 쉴 새 없이 관리하시는 게 느껴집니다. 항상 청소하고 계시고 내부 정리하시는 거 보면 대단하다고 생각되구요. 단골손님은 이름 외우실 정도로 신경 써주시고 친절하십니다.거의 모든 방에 거울이 있고, 화이트보드 있는 것도 좋은 점 중 하나입니다.방문시간 3시간 전 취소 가능한 것도 좋구요.간혹 옆 방에 스피킹 수업하시는 분들이 계실 때 빼고는 대체로 조용하고 쾌적한 편입니다.스터디룸 강남, 사당, 건대, 분당 여러 곳 많이 이용해 봤지만 가격 대비 쾌적함, 청결도는 여기 비할 곳 진짜 거의 없습니다.",5
모임 스터디룸 스터디카페,깔끔하고 좋네여,5
모임 스터디룸 스터디카페,나름 좋아요,4
모임 스터디룸 스터디카페,이용하기도 편하고 방음벽이 있어서 옆방 소리도 잘 안들리고 제 소리도 많이 안들리는 것 같아서 아주 만족합니다.,5
모임 스터디룸 스터디카페,쾌적하고 깔끔해요 :),4
모임 스터디룸 스터디카페,공간이 깨끗하고 사장님은 친절하세요. 방음도 잘되고 가격도 저렴해서 만족했습니다.,5
모임 스터디룸 스터디카페,저렴하게 잘 사용했습니다,5
모임 스터디룸 스터디카페,서현 다른 모임룸보다 저렴해서 좋았구요! 시설도 깔끔해요~~,5
모임 스터디룸 스터디카페,좋아요  자주가요,4
모임 스터디룸 스터디카페,깔끔해요. 방이 많아서 좋아요,4
모임 스터디룸 스터디카페,"시설은 나쁘지 않음, 노트북을 hdmi에 연결하여 스크린을 띠우면 소리가안나오고 마이크도 안되서 화상 회의가 어려웠음",2.5
모임 스터디룸 스터디카페,사장님 두분 너무 친절하시고 좋앗어요!방음 좋고 시설 좋아요!,5
모임 스터디룸 스터디카페,쾌적해요,4
모임 스터디룸 스터디카페,답답하고 시끄러워 집중이 안되네요~,1.5
모임 스터디룸 스터디카페,그냥그냥그냥.....,2
모임 스터디룸 스터디카페,음료 못들고 들어가는게 별로네용ㅠㅠ,2.5
모임 스터디룸 스터디카페,가격도 저렴하고 위치도 딱이에요,5
모임 스터디룸 스터디카페,"깔끔, 친절, 저렴진짜좋습니다. 방음도잘되구요",5
모임 스터디룸 스터디카페,친절하고 좋은데 너무 좁습니다. 대형룸도 룸 2개 터서하는거라 좀 애매하고 한 10명 정도로 생각하시면 될 것 같습니다,3
모임 스터디룸 스터디카페,깨끗하고 방음잘돼서 좋았어용,4
모임 스터디룸 스터디카페,"네이버 예약이 실시간으로 보여지지 않아, 네이버에서 2인실을 예약했지만 취소하고 3인실로 예약해야 했음. 그리고 방은 외부소음이 차단되지 않았고, 시위 소리가 반복적으로 오랫동안 지속되어서 머리가 너무 아팠다. 사장님 잘못은 아니지만, 2중창 등 외부 소음 차단을 위한 방법이 필요할듯.",2
모임 스터디룸 스터디카페,좋아요. 근데 직원분이 혼자 근무하시느라 입장시간이딜레이되고 방도 잘못알려주시고 그런 부분은 아쉽네요,4
모임 스터디룸 스터디카페,깔끔합니다,3
모임 스터디룸 스터디카페,정기적으로 사용하는 곳입니다. 좋아요!,5
모임 스터디룸 스터디카페,좋았어요~담에 또 가려구요~알바분 친절하세요!,5
모임 스터디룸 스터디카페,정기적으로 사용합니다,5
모임 스터디룸 스터디카페,조용하고 쾌적해서 좋아요~,5
모임 스터디룸 스터디카페,일단 방음이 생각보다 잘되어서 놀랬구요 에어컨이나 멀티탭 대여도 날 되어있어서 너무나도 좋았습니다,5
모임 스터디룸 스터디카페,정기적으로 사용합니다~ 좋아요!,5
모임 스터디룸 스터디카페,깔끔하고 좋아요,5
모임 스터디룸 스터디카페,최고예요 편하고 친절하시고! 방음은 조금 약해서 옆방에서 너무 큰소리로만 떠들지 않으면 최고입니다,5
모임 스터디룸 스터디카페,커피맛은 그럭저럭이에요,4
모임 스터디룸 스터디카페,한방을 3시간 예약했는데 중간에 한번 방을 바꿔야한다는게 별로였던거같아요~하지만 나머지 시설이나 이런건 좋았습니다,4
모임 스터디룸 스터디카페,생각보다 책상 자리가 좁았습니다. 5명 이용했는데 꽉 차요ㅠ1인당 가용면적이 작습니다. 그리고 옆방에서 떠들면 방음이 잘 안되는 듯 합니다. 스터디에서 시험보는건 안좋네요 ㅠ,3
모임 스터디룸 스터디카페,사장님이 친절하시고 모임할수 있는 공간이 있어 좋아요,4.5
모임 스터디룸 스터디카페,자주 이용하는 스터디룸,5
모임 스터디룸 스터디카페,늘 사용하는 곳입니다,5
모임 스터디룸 스터디카페,매우 만족하였습니다,5
모임 스터디룸 스터디카페,사용하려는 목적을 말씀드렸더니 용도에 맞게 잘 세팅해주셨어요. 빔프로젝트선이 자꾸 에러나서 중간에 노트북을 바꾸긴했어요,4
모임 스터디룸 스터디카페,아주 깔끔하고 시설이 이용하기 편리했습니다. 판매하는 차도 맛있습니다. 매우 만족합니다.,5
모임 스터디룸 스터디카페,좋아요.,5
모임 스터디룸 스터디카페,좋아욤~!,5
모임 스터디룸 스터디카페,깔끔하고 조용했어요. 음료도 먹을 거도 다양했습니다.,5
모임 스터디룸 스터디카페,친절하고 좋았네요,5
모임 스터디룸 스터디카페,"방음이 약간 안되는 상태인 것 같아 아쉽긴 한데, 깔끔하니 잘 사용했습니다!",4
모임 스터디룸 스터디카페,"일하시는 분들 다 친절하시고, 예약도 전화로 문자로 확인해주시구요. 깨끗하고 정돈 잘 되어있어서 종종 이용하려고 합니다~",5
모임 스터디룸 스터디카페,모임 장소로 좋아요,4
작심스터디카페 분당미금점,집중도 잘되고 불편한점이 없어서 재등록했어요ㅎㅎ,5
작심스터디카페 분당미금점,"오늘 처음 등록해서 사용해봤는데, 사장님도 친절하시고 학습 분위기 조성도 잘 되어있어요!",5
작심스터디카페 분당미금점,24시간오픈에 자리도 지루해질때마다 바꾸면서 공부하고 졸리면 서서공부하고 학습분위기도 잘 갖춰진거같아서 공부하기 아주좋네요!,5
작심스터디카페 분당미금점,재등록했습니다작심화이팅!,5
작심스터디카페 분당미금점,시설도 깔끔하고 관리가 잘 되어 있어요! 100시간 다 사용해보니 집중하기도 좋았고 덕분에 시험준비도 잘 할 수 있었어요~,5
작심스터디카페 분당미금점,몇달째 꾸준히 이용중인데 시설이 좋아서 공부하기 편안해요~,5
작심스터디카페 분당미금점,항상 만족하면서 이용합니다^^,4.5
작심스터디카페 분당미금점,스터디룸 이용했는데 깨끗하고 넓고 좋네요바로 옆룸에 커피및 음료등 먹을수 있는곳도 있고앞으로 계속 이용할 예정입니다,5
작심스터디카페 분당미금점,"3개월정도만에 다시 방문해 보았는데, 여전히 조용하고 공부하기 좋은 환경이 잘 유지되고 있는것같아요:)커피도 여전히 맛있구요:)오늘도 열공하고 가겠습니다~!!",5
작심스터디카페 분당미금점,"50시간 시간권 구매하여 사용하다가 현재는 지정석 구매해서 사용중입니다! 늘 깨끗하게 관리해주시고 주기적으로 책상도 소독해주셔서 코로나 시국에도 안심하고 다니는 중이에요~ ㅎ 매일 푸드룸에 구비해주시는 간식도 너무 감사하고 푸드룸도 깨끗하게 잘 관리되어 너무 좋습니다! 지난번엔 화상면접볼 일이 있어서 회의실(?)도 사용해봤는데 큰 모니터, 보드 등이 구비되어 있어서 팀과제가 있다면 사용하기 좋을것 같아요! 시험 합격하는 날까지 애용하도록 하겠습니다 ^^",5
작심스터디카페 분당미금점,"올해초에 생긴곳이어서 시설도 좋고 쾌적합니다😄미금역 근처 스터디카페 여러곳 갔었는데 작심 스터디카페 시설, 분위기가 마음에 들어서 첫날에 정기권 등록했습니다!",5
작심스터디카페 분당미금점,좋아요! 추천해요!!,5
작심스터디카페 분당미금점,집에서 멀지만 이런 스터디 카페가 또 없어 계속 이용중이에오 진짜 최고👍👍늘 친절한 응대 감사합니다☺️,5
작심스터디카페 분당미금점,올해 초에 학교 졸업하고 취업준비하겠다고 무작정 토익 책 사서 스터디카페를 찾았던 기억이 납니다. 자격증 공부하고 자소서 쓰면서 2달간은 하루종일 이곳에 있던 거 같아요. 사장님이 정말 관리를 잘 해주셔서 분위기가 좋은 것이 큰 도움이 됐습니다. 덕분인지 서류 쓰는 곳마다 다 붙었어요. 현재는 면접 다 보고 결과 기다리는 중에 사장님에게 도움이 됐으면 좋겠어서 글 하나 남깁니다. 취업준비생분들 정말 추천드립니다!,5
작심스터디카페 분당미금점,조용하고 집중잘되고 공부하기 좋은 환경이에요 자주 이용 할 것 같아여,5
작심스터디카페 분당미금점,분위기 조용하고 시설도 굉장히 깔끔하니 집중이 잘되는 것 같아요. 노트북석도 많아서 유용해요,5
작심스터디카페 분당미금점,친절하고 좋아요~매번 이곳만 이용합니다.,5
작심스터디카페 분당미금점,쾌적하고 좋아요,4.5
작심스터디카페 분당미금점,깨끗하고 노트북존 자리도 많아서 미금 근처 몇군데 다녀보고 여기로 정액권 끊었습니다. 👍,5
작심스터디카페 분당미금점,조용하고 공부하기 좋아요,5
작심스터디카페 분당미금점,시설도 엄청 깔끔하고 분위기도 좋아요!엄청 조용한 편입니다! 그래서 공부도 잘돼요!다른 스터디카페에 비해 제공해주는것들도 많아요 (일일 10장 무료 복사 등)한번 가고 바로 정기권 끊었어요! 추천합니다!!,5
작심스터디카페 분당미금점,"미금 근방에 있는 스터디 카페를 4군데 가봤습니다. 시설, 분위기, 넓이, 서비스등 단연 최고입니다. 위치도 정말 좋고요^^ 그래서 여기로 정기권 끊었답니다. 대만족이에요~~~!!",5
작심스터디카페 분당미금점,관리도 잘 되고 요청사항 있으면 그때그때 반영이 잘 되어서 좋아요 작심 스터디 계속 다니는 데엔 이유가 있습니다 간식도 짱짱하게 넣어주셔서 쉬는 시간에 에너지 충전하기 좋아요👍👍👍,5
작심스터디카페 분당미금점,깨끗하고 공부하기 너무 편한 환경이라 좋아요~,5
작심스터디카페 분당미금점,독서실 자주 옮겨다니는데 이번에 연장했습니당인강도 제공되고 푸드룸도 따로 있어서 좋은거 같아요😚😚,5
작심스터디카페 분당미금점,친절하고 좋아요,4
작심스터디카페 분당미금점,"왠만한 스터디카페, 독서실 다 가봤는게미금역 통틀어서 가장 쾌적하고 운영이 잘 되는 스터디카페인 듯합니다 😃어디로 갈지 고민 중이신 분들은 일단 와보시길 추천드려요 !",5
작심스터디카페 분당미금점,이용 중 불편이 생겨 카톡으로 문의했는데 대응이 불친절하네요 다시는 이용 안할듯 ~~,0.5
작심스터디카페 분당미금점,신경 많이 쓰는거 같아요쾌적하고 조용하네요 ^^,5
작심스터디카페 분당미금점,공부 분위기가 너무 좋아요조용하고 깔끔해서 집중이 잘 되요,5
작심스터디카페 분당미금점,밝고 아주 공부하기 좋습니다,5
작심스터디카페 분당미금점,값도 저렴하고 좋아요＂,5
작심스터디카페 분당미금점,양호해서 자주 이용하고 있습니다.,5
작심스터디카페 분당미금점,원래 스터디카페보다 독서실을 더 선호하는데친구 추천으로 한달동안 다녔어요.스카 싫어하는 이유가 청결때문인데여기는 생긴지 얼마 안된데다가 항상 자리 청소 해주셔서 너무 깨끗해요.온도도 적당하고 악취도 안나고색감이나 분위기도 그냥 별 탈 없이 집중 잘되는 곳이예요.자리도 종류가 여러개라 실증날일도 없고간식도 자주 채워주셔서 잘 먹고 있어요ㅎㅎ무엇보다 사장님이나 알바분들이 친절하셔서아무런 불편함이나 불쾌 없이 공무할수 있어요.계속해서 다닐 예정입니다😁,5
작심스터디카페 분당미금점,너무 좋아서 재구매 했습니다.,5
작심스터디카페 분당미금점,생각보단 작았지만 그래도 좋았습니댜!,4
작심스터디카페 분당미금점,10분 일찍 방문해도 잠시 대기할 수 있어서 좋았네요,5
작심스터디카페 분당미금점,미금 스터디카페 거의 다 가봤는데 여기.분위기가.젤 좋아요 다들 열심히 공부하는 분위기라 방해도 안됩니다 사장님이 신경 많이 쓰시는 거 같아요,5
작심스터디카페 분당미금점,주변 스터디 카페 중에 가장 쾌적하고 좋은 거 같아요!,5
작심스터디카페 분당미금점,쾌적하고 조용해요,5
작심스터디카페 분당미금점,깨끗하고 공부하기 좋은곳이에요^^ 사장님이 세심하게 신경써주시는게 느껴지는 곳입니다~~^^,5
작심스터디카페 분당미금점,늘 쾌적하고  분위기가 좋아 꾸준히 이용중입니다 :),5
작심스터디카페 분당미금점,조용하고 공부도 집중잘되서 좋아요!,5
작심스터디카페 분당미금점,쾌적하고 조용해서 공부하기 좋아요,5
작심스터디카페 분당미금점,처음 방문했는데 너무 답답하지않고 쾌적해서좋았어요 ! 곳곳에 이용자분들을 위한 섬세함이 묻어나 기분 좋은 이용이 되었습니다:)자주 이용하러 오려구요!,5
작심스터디카페 분당미금점,인테리어도 깔끔하고 조용해서 공부에 집중하기가 좋았어요!,5
작심스터디카페 분당미금점,좋아요 추천합니다!!,5
작심스터디카페 분당미금점,깨끗한편입니다,4.5
작심스터디카페 분당미금점,되게 조용하고 공부하기 좋아요!,5
작심스터디카페 분당미금점,공부하기 좋아요!!,5
작심스터디카페 분당미금점,"시설도 깨끗하고 사장님도 친절하셔서 너무 좋아요!! 그리고 항상 채워주시는 간식들 너무 맛있습니다,, 미금역 스터디맛집이에요...",5
작심스터디카페 분당미금점,다른 스터디카페랑 다르게 관리자분이 상주하고 계셔서 피드백도 빠르고 관리유지도 깔끔하게 잘 되는 것 같아요! 분위기도 조용하고 깔끔해서 그런지 집중도 잘 되네요 !! 미금역 근방 스카 떠돌이였는데 이제 여기 정착할 것 같아요 간식도 너무 맛있어요~~!,5
작심스터디카페 분당미금점,넓고 쾌적하고 깔끔함 것 같아요! 가까운데다가 24시간이라 자주 이용할 것 같아요,5
작심스터디카페 분당미금점,맘에 들어요! 공부 분위기 잘 잡힐 수 있는 분위기입니다~~ 추천합니다!!,4.5
작심스터디카페 분당미금점,깔끔하구 다른곳보다  넓고 조용함관리가 잘 되는 편이예요!,5
작심스터디카페 분당미금점,진짜 최고입니당ㅎㅎㅎ 자주올거같네요!!!,5
작심스터디카페 분당미금점,시험기간이라 방문했는데 너무 깔끔하고 좋아요 다음에도 또올게요~,5
작심스터디카페 분당미금점,공부하기 너무 좋아요!,5
작심스터디카페 분당미금점,공부하기에 최적의 장소인 것 같아요! ㅎㅎㅎ역이랑 가깝고 2층이라 지리적으로도 너무 편해요! 지나가다 잠깐 봤는데 관리자분께서 문 손잡이랑 이용객의 손이 닿는 부분 물건 하나하나 소독용액을 뿌리시고 닦고 계시더라고요 ㅠㅠ 덕분에 안전하게 공부에만 집중했어요😭 감사합니다 ㅎㅎ 스터디카페 자체 분위기도 너무 좋고 시설도 깔끔 깨끗해서 재방문 미리 예약할게요!!👍👍👍 (커피도 맛있게 잘 먹었어요:)),5
작심스터디카페 분당미금점,이전에 갔던 스터디카페들이 마음에 안들어서 가기를 망설이다가 찾아간 곳이었는데 너무 좋았어요!! 의자도 3시간 내내 앉아있었는데 편했어요! 환기도 계속하고 있어서 코로나로 인한 찜찜함이 좀 가시기도 했고 인테리어도 깔끔하다고 느꼈어요! 아침 8시 좀 넘어 갔을 때는 사람이 별로 없더라고요 그래서 좋았어요! 새벽공부하기 좋을 거 같아요 다음엔 더 일찍 가보려고요!,4.5
작심스터디카페 분당미금점,입장이 어색했지만 나쁘지 않았네요,4.5
작심스터디카페 분당미금점,조용하고 쾌적해요! 다들 조용하게 공부해서 덩달아 열심히 하게 됩니다! 다음에 또 올게요!,5
작심스터디카페 분당미금점,깔끔하고 관리가 잘 되고 있는 것 같아 몇 번 다녀보다가 정기권 끊었습니다 공부 잘 되고 좋아요~!,5
작심스터디카페 분당미금점,시설이 넓고 환기도 잘되고 기타 물품들 구비가 잘 되어있어서 좋아요 앞으로 주기적으로 다니려구요!,5
작심스터디카페 분당미금점,공부환경 조용하고 지속적으로 관리해주셔서 좋아요! 커피랑 간식도 제공해주십니다! 컴퓨터 쓰는 공간은 좀 아쉽긴 하지만 직원분들 서비스 때문에 좋은 인상만 남습니다. 계속 올꺼예요~,5
작심스터디카페 분당미금점,친절해서좋아요,5
작심스터디카페 분당미금점,네이버 예약기능이 있어서 편리합니다아이 과외를 했는데 아주 쾌적하고 편안하게 수업할 수 있어 좋았다고 합니다,5
작심스터디카페 분당미금점,3월 초 쯤 방문하고 오늘 재방문 했는데 여전히 관리가 잘 되고 있는 것 같아요. 새로 오픈한 곳이라 쾌적하고 미금역 근방에서 제일 괜찮은 스카입니다,5
작심스터디카페 분당미금점,노트북 하는 곳이 따로 있어서 좋아요!! 현금밖에 없었는데 오전에 계신 남자 알바생 분께서 너무 친절하게 결제 도와주셔서 감사했습니다~~,5
작심스터디카페 분당미금점,조금씩 다니다가 결국에는 시간제 구매했어요 상담도 너무 귀찮게 ㅎㅐ드린 것 같은데  너무너무너무 잘해주셔고 시간제 구매했습니다!! 시설도 좋고 학원이 근처라서 계속 이용할 것 같아용!!,5
작심스터디카페 분당미금점,"스터디카페 근처 3곳 정도 방문해봤는데 음식물을 먹는데가 따로 분리되어 있고 노트북 타이핑을 사용하는 곳도 따로 있는듯 곳곳에 배려가 숨어 있고 넒어서 좋아요. 커피, 쥬스랑 과자도 맛있음",4.5
작심스터디카페 분당미금점,깔끔하고 자리도 편해요!!여기는 매니저님이 계셔서 관리가 더 잘 될 것 같아용 친절하시구요😚😚 저만 알고 싶은데 사람 더 많아질거 같아요 ㅎ.ㅎ,5
작심스터디카페 분당미금점,집과 거리가 있지만 한 번 방문하고 자주 방문하는 곳이에요!! 시설도 좋고!! 식사를 할 수 있는 곳이 따로 있어서 가징 좋았어요!!제빙기 때문인지 그 공간은 조금 덥기는 하지만 매우 만족합니다 방문 전에 상담도 너무 친절하게 해주셔서 좋았어용,5
작심스터디카페 분당미금점,깔끔하고 조용해서 공부하기 좋네요,5
작심스터디카페 분당미금점,조용하고 깔끔해서 그런지 집중도 더 잘되는거같습니다~ 쾌적해요!!,5
작심스터디카페 분당미금점,조용하고 쾌적해요사장님께서 이용자들을 많이 고려하셨음이 느껴집니다맛있는 간식도 구비되어있고 타자칠 수 있는 공간도 따로 마련되어 있어요작심 짱짱!!,5
작심스터디카페 분당미금점,친절해요,5
작심스터디카페 분당미금점,시설도 너무 쾌적하구 좋았는데 배고팠는데 간식거리도 무료로 먹을 수 있어서 넘 좋아쏘유~,5
작심스터디카페 분당미금점,좋아서 자주와요,5
작심스터디카페 분당미금점,쾌적하고 공부하기 좋아요,5
작심스터디카페 분당미금점,원래 스터디카페 한달씩 하고 옮겨다니는데 처음으로 한달 더 연장했어요!! 시설도 좋고 조용하고 무엇보다도 엄청 친절하세요 !!,5
작심스터디카페 분당미금점,시설도 넘 좋고 분위기도 좋아서 또 방문했어요특히 미금역 바로 앞이라 위치 좋아요~~사장님 친절하시구 피드백 바로바로 받아주시고 관리를 엄청 잘해주십니당 ㅎㅎ,5
작심스터디카페 분당미금점,최애 단골가게!!!,5
작심스터디카페 분당미금점,분당에서 제일 공부하기 좋은 곳!! 굿,5
작심스터디카페 분당미금점,새로생겨서 방문해봤는데 직원분들이 친절하시고 내부도 쾌적하네요,5
작심스터디카페 분당미금점,새로 오픈해서 그런지 깨끗하고 집중하기 좋네요~ 직원분도 친절하셔서 재방문의사 있습니다,5
작심스터디카페 분당미금점,좋아요 깨끗하고 친절합니다!,5
작심스터디카페 분당미금점,여긴 건조하지않아서좋아요,5
작심스터디카페 분당미금점,"공간이 깨끗하게 관리가 잘 돼있었습니다.아침 일찍이라 출출했는데, 푸드룸에서 간단히 배도 채울 수 있어서 좋았구요. ㅎㅎ짧은 시간이지만 직원분께서 친절히 설명해주셔서 편하게 이용했어요. 다음에 또 이용할 일이 있으면 여기로 올께요~",5
작심스터디카페 분당미금점,면접보려고 스터디룸 빌렸는데와이파이 끊겨서 면접 중간에 끊어졌어요와이파이 알려주신가 전부 다 끊기더라구요면접보실분들 꼭 참고하세요,0.5
작심스터디카페 분당미금점,가까워서 왔는데 생각보다 좋고 친절해요,5
작심스터디카페 분당미금점,4주 정기권 끊어서 이용하고 있는데 다른 스터디카페에 비해 신경을 많이 써주신다고 느낀게 간식이 떨어지면 거의 바로바로 리필을 해주시더라고요 그리고 아메리카노기계도 있어서 공부하다 졸릴때 마시기 좋고 냉장고도 있어서 식사할것 챙겨와서 휴게실에서 식사하는것도 가능합니다  스터디카페 여러군데 이용해봤지만 여기만큼 좋은데는 못본것 같네요,5
작심스터디카페 분당미금점,정말 정말 좋은 독서실 입니다다른 독서실은 커피도 돈 주고 사먹어야 하고 프린트도 유료고 의자도 시디즈가 아닌데 가격은 똑같거나 비싸더라구용.. 작심미금은 간식도 있고 커피도 공짜고 심지어 프린트가 하루에 10장 무료라서 정말 가본 독서실 중 젤 좋아요! 냉장고도 있어서 음식도 갖다둘 수 있고 라운지가 있어서 안에서 공부하다 답답하면 나와서 할 수도 있습니다. 관리자님 사장님 다 친절하신데 주말에 오시는 알바님들도 정말 친절하세요..그리고 서비스를 떠나서 집중력 빌런인데 여기 다니면서 평균11시간 꼬박꼬박 채웁니다.. 그래서 작심미금최고👍 항상 감사합니당,5
작심스터디카페 분당미금점,좋아요~ 시설이 깨끗 해요~♡,5
작심스터디카페 분당미금점,직원이 친절해서 좋아요 재방문 의사100,5
작심스터디카페 분당미금점,공부 잘되고 좋아요,5
작심스터디카페 분당미금점,"저번에 임페리얼 왔는데 , 케임브릿지? 여기도 좋네여 굳굳굳굳굳굳굳굳굳굳",5
작심스터디카페 분당미금점,조용하고 공부하기 넓고 쾌적해서 너무 좋아요!!,5
작심스터디카페 분당미금점,"자리도 넓고 소음도 없고 좋습니다. 휴게실도 깔끔하고 음료도 많이 구비되어 있고, 프린트도 잘 됩니다.",5
작심스터디카페 분당미금점,너무 깔끔하고 공부 집중하기좋습니다.,5
작심스터디카페 분당미금점,미금역 최고의 스터디카페인 것 같아요ㅜㅜ 간식도 음료수도 있고 무엇보다 백색소음이 커서 공부에 집중이 잘 되고 인테리어 완전 취저,5
작심스터디카페 분당미금점,처음 와봤는데 쾌적하고 너무 좋아요! 휴게실도 따로 있고 공간도 넓어서 또 오고 싶어여,5
작심스터디카페 분당미금점,취업 준비하면서 자소서 쓰려고 조용한 곳 찾아 들렀습니다. 집에 가기 전 휴게실 들렀는데 고객들을 생각하시는 게 느껴졌습니다. 요즘 취업준비 하느라 스트레스 많이 받았었는데 배려가 느껴져서 보기만 해도 기분이 좋아졌네요. 추천드립니다!,5
작심스터디카페 분당미금점,너무 깔끔하고 쾌적하네요. 100시간권 끊어서 자주자주 와야겠네요~!,5
작심스터디카페 분당미금점,쾌적하고 조용해서 공부하기 좋아요!! 다녀본 곳 중 가장 맘에 들어요,5
작심스터디카페 분당미금점,갑자기 주말에 공부하고 싶다는 딸과 첫방문했습니다~분위기도 정말 깔끔ㆍ고급지고 좌석도 여러 컨셉대로 개인취향대로 선택할수있습니다거기에 휴게실 간식도 제대로 먹고싶은 것들로 자상하게 배려한 간식ㆍ음료들 준비되어 있구요~심지어 대일밴드와 치실^^!까지 비치하시다니 배려와 관리의 끝판왕을 보게 되네요~처음이라 헤매니 회원등록부터 좌석 소개까지 자상히 해주시는 센스와 친절함도 감사드리구요온라인 인강ㆍ출력ᆢ조용한 분위기와 조명밝기ㆍ청정한 공기정화ㆍ편안한 의자와 책상까지 공부하고 싶을땐 여기다 싶었습니다다음에 친구들과 스터디할꺼면 미리 예약해서 오라고 해야겠다 싶었습니다새로 오픈해서인지 정말 쾌적해서 호캉스 온 느낌입니다^^;;  강추합니다,5
작심스터디카페 분당미금점,친절하고 쾌적하네요,5
작심스터디카페 분당미금점,깨끗하고 쾌적하고 좋아요~,5
작심스터디카페 분당미금점,너무 깨끗하고 좋아요 쾌적해요!! 💖 또방문할게요,5
작심스터디카페 분당미금점,살짝 어두운 색의 인테리어 덕분인지 더 집중이 잘됐던것같아요. 휴게실에 간식까지 챙겨주셔서 너무 좋았구요.커피도 맛있고 얼음이 커서 아이스아메리카노 만들어 마시기에 너무 좋았습니다.,5
작심스터디카페 분당미금점,시설도 깨끗하고 조용하고 그만큼 집중도 잘되었습니다,5
작심스터디카페 분당미금점,백색소음기도 있어서 좋고 실내 온도도 잘 맞춰줘서 쾌적합니다,5
작심스터디카페 분당미금점,좋아요ㅎㅎ 추천해요!!!!!!,5
작심스터디카페 분당미금점,처음 와봤는데 새로 생겨서 그런지 깔끔하고 쾌적해요! 공간도 넓어서 더 좋은 것 같아요 다음에도 또 오고 싶어요,5
작심스터디카페 분당미금점,깨끗하고 쾌적해서 이용하기 넘 좋아요^^,5
작심스터디카페 분당미금점,"너무 좋아요 여러 종류의 좌석을 고를 수 있기에, 다양한 환경에서 공부할 수 있어서 집중도 잘돼요.",5
작심스터디카페 분당미금점,조용하고 쾌적한 환경이라 좋습니다!^^,5
작심스터디카페 분당미금점,쾌적하고 좋습니다.,5
작심스터디카페 분당미금점,매번 오지만 항상 분위기가 너무 좋아요~ 자주 오겠습니다,5
작심스터디카페 분당미금점,깔끔하고 조용해서 공부하기 좋아요!! 간식이 다양해서 좋았어요,5
작심스터디카페 분당미금점,"미금역1번출구에서 가까워서 좋았고요, 2층이여서 엘리베이터 안 타고 계단으로 걸어가도 되니까 코로나에도 안심되고 오픈한 지 얼마 안되어서 분위기도 좋고 시설이 깨끗하고 쾌적해서 좋았고 찬절해서 기분 좋았어요. 계속 이용해서 준비하는 시험 합격하고 싶어요.",5
작심스터디카페 분당미금점,굳굳굳굳굳 임페리얼?좌석 좋네여 굳굳굳굳굳굳,5
작심스터디카페 분당미금점,오랜만에 독서실 다니게 됬는데 마침 이사온 집근처에 새로 생긴 독서실이라서 다니게 됬어요! 2주정도 지났는데 시설도 깨끗하고 쾌적하며 기본적인 간식은 물론 주기적으로 도넛이나 쿠키같은 간식도 있어 아주 만족스럽게 다니고 있습니다. 지인들에게도 추천할정도로 만족스럽습니다:),5
작심스터디카페 분당미금점,쾌적하고 집중도 잘되고 좋아요:),5
작심스터디카페 분당미금점,"학교 근처에서 다녀본 적 있었는데, 이번에 동네에 생겼다길래 바로 기간권으로 등록했어요! 역시 깨끗하고 예쁘네요 짱 좋아요ㅠㅠ",5
작심스터디카페 분당미금점,완전깨끗하고 직원분들도 친절하시네요~먹을것도 많아서 너무좋앗습니다!!,5
